1,505
2,505
3,493
4,506
5,494
6,505
7,493
8,505
9,493
10,505
11,493
12,505
13,493
14,505
15,493
16,505
17,493
18,505
19,493
20,505
21,493
22,505
23,493
24,505
25,493
26,505
27,493
28,505
29,493
30,505
31,493
32,505
33,493
34,505
35,493
36,505
37,493
38,505
39,493
40,505
41,493
42,505
43,493
44,505
45,493
46,505
47,493
48,505
49,493
50,505
51,493
52,505
53,493
54,505
55,493
56,505
57,493
58,505
59,493
60,505
61,493
62,505
63,493
64,505
65,493
66,505
67,493
68,505
69,493
70,505
71,493
72,505
73,493
74,505
75,493
76,505
77,493
78,505
79,493
80,505
